3,34
4,77
5,66
6,66
7,66
8,66
9,29
10,66
11,83
12,50
13,52
14,81
15,38
16,50
17,93
19,32
20,2
21,32
22,62
24,12
25,2
28,62
32,12
34,2
35,14
36,14
37,81
38,12
39,12
42,14
45,27
46,69
48,2
50,12
51,12
52,32
55,2
56,88
57,4
59,93
60,2
61,14
62,2
64,12
65,14
66,4
67,2
68,2
70,14
71,38
72,2
73,12
75,32
77,14
79,12
81,14
82,14
83,32
85,27
86,2
87,2
91,53
92,14
94,14
96,77
98,14
99,12
3,59
4,62
5,29
6,29
7,81
8,81
9,46
10,81
11,29
12,64
13,81
14,46
16,64
19,11
21,11
22,14
24,9
28,14
34,0
36,2
37,32
42,2
45,96
50,2
52,11
55,0
59,3
60,0
61,2
62,0
64,2
66,1
70,2
71,28
75,11
77,2
81,2
82,2
83,11
85,4
96,70
3,12
4,14
5,46
6,34
7,22
8,29
9,57
10,29
11,34
12,93
13,21
14,61
19,1
21,1
22,8
28,8
34,6
36,8
37,77
42,8
50,5
52,1
55,13
59,0
60,6
61,8
62,13
64,5
70,8
75,14
77,8
81,8
82,8
83,14
96,57
3,20
4,66
5,56
6,46
7,29
8,32
9,63
10,46
11,59
12,2
13,55
14,77
19,2
21,2
22,7
34,11
36,10
42,10
50,9
52,2
59,6
60,11
61,10
64,9
70,10
77,10
81,10
82,10
83,1
96,65
3,50
4,70
5,57
6,56
7,32
8,46
9,71
10,56
11,60
12,3
13,62
14,82
21,0
34,12
52,0
59,11
61,0
77,0
81,0
82,0
83,2
96,18
3,52
4,8
5,63
6,57
7,46
8,56
9,74
10,57
11,75
12,32
13,77
14,36
21,13
52,13
61,7
77,37
81,7
82,7
83,8
96,45
3,64
4,29
5,71
6,59
7,56
8,57
9,80
10,61
12,34
13,82
14,42
52,3
77,7
81,13
82,13
83,10
3,66
4,46
5,74
6,60
7,57
8,61
9,85
10,63
12,38
14,45
52,10
77,13
81,3
3,81
4,56
5,80
6,63
7,61
8,63
9,90
10,71
12,39
14,70
4,57
5,85
6,71
7,63
8,71
9,15
10,74
12,51
14,83
4,63
5,90
6,74
7,71
8,74
9,26
10,77
12,73
14,1
4,65
5,15
6,80
7,74
8,77
9,45
10,80
12,79
14,2
4,71
5,26
6,85
7,77
8,80
9,50
10,82
12,99
14,35
4,74
5,45
6,90
7,80
8,82
9,64
10,85
14,65
4,80
5,50
7,82
8,85
9,88
10,90
14,98
4,85
5,64
7,85
8,90
9,93
10,15
14,75
4,90
5,88
7,90
8,11
9,97
10,26
14,92
5,97
8,15
10,36
14,94
8,26
10,42
8,36
10,45
8,42
10,52
8,45
10,70
8,70
10,83
8,83
10,88
8,88
10,97
8,97
